"Origin,""colYear"",""colMonth"",""prom_arribades"""
"ATL,""1997"",""4"",""9.0000"""
"ATL,""1997"",""5"",""7.0000"""
"ATL,""1997"",""7"",""11.0000"""
"ATL,""1997"",""10"",""-24.0000"""
"ATL,""1998"",""5"",""-11.0000"""
"ATL,""1998"",""9"",""-14.0000"""
"ATL,""1999"",""1"",""5.6667"""
"ATL,""1999"",""2"",""2.7500"""
"ATL,""1999"",""3"",""0.0000"""
"ATL,""1999"",""5"",""29.5000"""
"ATL,""1999"",""6"",""19.5000"""
"ATL,""1999"",""8"",""11.5000"""
"ATL,""1999"",""9"",""-5.0000"""
"ATL,""1999"",""12"",""-1.0000"""
"ATL,""2000"",""1"",""-2.0000"""
"ATL,""2000"",""2"",""-2.0000"""
"ATL,""2000"",""3"",""33.5000"""
"ATL,""2000"",""4"",""37.0000"""
"ATL,""2000"",""5"",""3.0000"""
"ATL,""2000"",""7"",""13.0000"""
"ATL,""2000"",""10"",""3.5000"""
"ATL,""2000"",""11"",""-7.0000"""
"ATL,""2001"",""2"",""-12.0000"""
"ATL,""2001"",""3"",""8.0000"""
"ATL,""2001"",""5"",""-12.0000"""
"ATL,""2001"",""6"",""1.0000"""
"ATL,""2001"",""7"",""49.0000"""
"ATL,""2002"",""4"",""29.0000"""
"ATL,""2002"",""5"",""15.0000"""
"ATL,""2002"",""7"",""12.0000"""
"ATL,""2002"",""8"",""-3.0000"""
"ATL,""2002"",""9"",""-3.0000"""
"ATL,""2002"",""10"",""36.5000"""
"ATL,""2002"",""12"",""-16.6667"""
"ATL,""2003"",""1"",""-5.0000"""
"ATL,""2003"",""2"",""-2.0000"""
"ATL,""2003"",""3"",""25.3333"""
"ATL,""2003"",""5"",""16.0000"""
"ATL,""2003"",""6"",""-6.3333"""
"ATL,""2003"",""7"",""18.5000"""
"ATL,""2003"",""8"",""-1.0000"""
"ATL,""2003"",""10"",""9.0000"""
"ATL,""2004"",""1"",""4.0000"""
"ATL,""2004"",""2"",""27.0000"""
"ATL,""2004"",""3"",""8.0000"""
"ATL,""2004"",""5"",""18.0000"""
"ATL,""2004"",""6"",""38.0000"""
"ATL,""2004"",""7"",""-5.0000"""
"ATL,""2004"",""8"",""9.0000"""
"ATL,""2004"",""10"",""52.0000"""
"ATL,""2005"",""2"",""1.0000"""
"ATL,""2005"",""3"",""50.5000"""
"ATL,""2005"",""5"",""-2.2500"""
"ATL,""2005"",""6"",""18.5000"""
"ATL,""2005"",""7"",""2.3333"""
"ATL,""2005"",""8"",""62.0000"""
"ATL,""2005"",""9"",""-11.0000"""
"ATL,""2005"",""10"",""2.5000"""
"ATL,""2005"",""11"",""-2.0000"""
"ATL,""2005"",""12"",""10.0000"""
"ATL,""2006"",""2"",""41.0000"""
"ATL,""2006"",""4"",""5.0000"""
"ATL,""2006"",""5"",""16.0000"""
"ATL,""2006"",""7"",""9.3333"""
"ATL,""2006"",""8"",""15.6000"""
"ATL,""2006"",""9"",""-5.0000"""
"ATL,""2006"",""10"",""-6.0000"""
"ATL,""2006"",""11"",""11.0000"""
"ATL,""2006"",""12"",""-2.0000"""
"ATL,""2007"",""1"",""25.5000"""
"ATL,""2007"",""2"",""4.0000"""
"ATL,""2007"",""3"",""42.0000"""
"ATL,""2007"",""4"",""6.5000"""
"ATL,""2007"",""5"",""11.0000"""
"ATL,""2007"",""6"",""24.5000"""
"ATL,""2007"",""7"",""1.0000"""
"ATL,""2007"",""8"",""86.0000"""
"ATL,""2007"",""9"",""41.0000"""
"ATL,""2007"",""10"",""4.5000"""
"ATL,""2007"",""11"",""33.0000"""
"ATL,""2007"",""12"",""54.5000"""
"ATL,""2008"",""1"",""-1.0000"""
"ATL,""2008"",""2"",""-14.6667"""
"ATL,""2008"",""3"",""0.3333"""
"ATL,""2008"",""4"",""30.5000"""
"ATL,""2008"",""5"",""1.6667"""
"ATL,""2008"",""6"",""-2.0000"""
"ATL,""2008"",""7"",""4.5000"""
"ATL,""2008"",""8"",""7.0000"""
"ATL,""2008"",""9"",""-6.0000"""
"ATL,""2008"",""10"",""10.0000"""
"ATW,""1988"",""2"",""2.0000"""
"ATW,""2004"",""5"",""10.0000"""
"ATW,""2008"",""5"",""-10.0000"""
"AUS,""1990"",""4"",""13.0000"""
"AUS,""1990"",""8"",""-3.0000"""
"AUS,""1992"",""2"",""-9.0000"""
"AUS,""1992"",""12"",""2.0000"""
"AUS,""1993"",""1"",""-3.0000"""
"AUS,""1993"",""6"",""0.0000"""
"AUS,""1995"",""3"",""32.0000"""
"AUS,""1995"",""7"",""-1.0000"""
"AUS,""1997"",""3"",""6.0000"""
"AUS,""1999"",""7"",""0.0000"""
"AUS,""1999"",""9"",""-5.0000"""
"AUS,""2000"",""8"",""-1.0000"""
"AUS,""2002"",""10"",""-3.0000"""
"AUS,""2003"",""2"",""-5.0000"""
"AUS,""2004"",""11"",""-6.0000"""
"AUS,""2005"",""10"",""-10.0000"""
"AUS,""2006"",""4"",""25.0000"""
"AUS,""2007"",""3"",""-9.0000"""
"AUS,""2007"",""11"",""11.0000"""
"AUS,""2008"",""1"",""1.0000"""
"AUS,""2008"",""4"",""-0.5000"""
"AVL,""1994"",""2"",""-12.0000"""
"AVL,""1997"",""9"",""-1.0000"""
"AVL,""2006"",""11"",""-10.0000"""
"AZO,""2003"",""12"",""-10.0000"""
"BDL,""1988"",""5"",""-19.0000"""
"BDL,""1988"",""6"",""-8.0000"""
"BDL,""1988"",""11"",""1.0000"""
"BDL,""1988"",""12"",""42.0000"""
"BDL,""1993"",""8"",""-5.0000"""
"BDL,""1994"",""4"",""-1.0000"""
"BDL,""1997"",""6"",""-16.0000"""
"BDL,""1998"",""5"",""38.0000"""
"BDL,""1998"",""10"",""-36.0000"""
"BDL,""1999"",""2"",""-25.0000"""
"BDL,""2000"",""5"",""-30.0000"""
"BDL,""2000"",""8"",""4.0000"""
"BDL,""2001"",""8"",""-2.0000"""
"BDL,""2001"",""11"",""-18.0000"""
"BDL,""2001"",""12"",""11.0000"""
"BDL,""2002"",""11"",""-8.0000"""
"BDL,""2003"",""12"",""-14.0000"""
"BDL,""2004"",""9"",""-3.0000"""
"BDL,""2005"",""11"",""-15.0000"""
"BDL,""2006"",""9"",""-4.0000"""
"BDL,""2006"",""10"",""-9.0000"""
"BDL,""2008"",""5"",""7.0000"""
"BDL,""2008"",""12"",""8.0000"""
"BET,""1999"",""8"",""1.0000"""
"BFL,""2007"",""10"",""-6.0000"""
"BGR,""2004"",""1"",""45.0000"""
"BHM,""1988"",""1"",""51.0000"""
"BHM,""1988"",""2"",""-8.0000"""
"BHM,""1993"",""7"",""-7.0000"""
"BHM,""1994"",""11"",""9.0000"""
"BHM,""1995"",""8"",""4.0000"""
"BHM,""1995"",""12"",""30.0000"""
"BHM,""1996"",""10"",""73.0000"""
"BHM,""1997"",""10"",""-5.0000"""
"BHM,""1998"",""12"",""17.0000"""
